Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1020,-64,Mammaklaskern,-,1306.25,-11.09,1411.85,-29.71,35.2,-6.21,122,36.0,52,11.0,70,25.0,0,0.0,42.62,-5.05,2026-08-08,-,0,1375.0
1021,-57,Buiz,DK,1306.2,-4.53,1406.45,-1.76,33.42,0.92,481,6.0,211,2.0,269,4.0,1,0.0,43.87,-0.13,2026-07-29,-,0,788.0
1022,-125,Bulb,-,1306.16,-35.87,1435.0,-36.87,42.95,-0.34,142,6.0,61,0.0,80,6.0,1,0.0,42.96,-1.89,2026-07-31,-,0,835.0
-,-,wicaksonoadi,-,1305.97,-2.45,1508.9,0.0,67.65,0.82,60,0.0,31,0.0,28,0.0,1,0.0,51.67,0.0,2021-08-19,-,0,-
-,-,jczas,-,1305.88,-2.04,1545.91,0.0,80.01,0.68,36,0.0,21,0.0,15,0.0,0,0.0,58.33,0.0,2022-05-29,-,0,-
1023,unretired,oldmutant,-,1305.15,45.23,1424.46,26.89,39.77,-6.11,362,24.0,159,15.0,202,9.0,1,0.0,43.92,1.32,2026-07-29,-,0,-
1024,-29,Chriiiss,FR,1305.03,6.3,1381.67,9.82,25.55,1.17,859,21.0,357,12.0,495,9.0,7,0.0,41.56,0.39,2026-08-03,-,0,445.0
-,-,Aksiom,-,1304.89,-3.22,1465.33,0.0,53.48,1.07,218,0.0,100,0.0,117,0.0,1,0.0,45.87,0.0,2022-03-06,-,0,-
1025,-45,gwfalcon,-,1304.79,-0.39,1437.39,-2.12,44.2,-0.58,114,6.0,48,2.0,66,4.0,0,0.0,42.11,-0.48,2026-08-09,-,0,1118.0
1026,-56,Jume,ES,1303.97,-4.84,1369.25,-2.6,21.76,0.75,673,41.0,268,19.0,397,21.0,8,1.0,39.82,0.42,2026-08-11,-,0,496.0
-,-,Schlangenfuerst,-,1303.85,-1.12,1738.99,0.0,145.05,0.37,8,0.0,5,0.0,3,0.0,0,0.0,62.5,0.0,2022-01-01,-,0,-
-,-,Boerpopoer,-,1303.35,-2.79,1483.74,0.0,60.13,0.93,90,0.0,45,0.0,45,0.0,0,0.0,50.0,0.0,2022-03-06,-,0,-
-,-,DocFleischmann,-,1303.35,-2.07,1539.93,0.0,78.86,0.69,30,0.0,12,0.0,17,0.0,1,0.0,40.0,0.0,2024-04-04,-,0,-
-,-,joaoleal2,-,1303.29,-3.16,1472.8,0.0,56.51,1.05,230,0.0,101,0.0,128,0.0,1,0.0,43.91,0.0,2022-01-01,-,0,-
-,-,Grotaron,-,1303.15,-1.65,1600.62,0.0,99.15,0.55,18,0.0,11,0.0,7,0.0,0,0.0,61.11,0.0,2020-12-06,-,0,-
-,-,pdp01,-,1302.91,-2.9,1473.14,0.0,56.75,0.97,162,0.0,80,0.0,82,0.0,0,0.0,49.38,0.0,2021-11-15,-,0,-
1027,-83,Jmstoic,-,1302.88,-17.39,1386.0,-22.54,27.71,-1.71,435,41.0,166,14.0,262,26.0,7,1.0,38.16,-0.42,2026-08-14,-,0,1244.0
-,-,PiftaIsItYou,-,1302.46,-3.17,1464.99,0.0,54.18,1.06,204,0.0,100,0.0,100,0.0,4,0.0,49.02,0.0,2023-06-04,G,2,-
1028,-59,Joppur,SE,1302.43,-7.04,1394.02,0.0,30.53,2.35,707,0.0,282,0.0,422,0.0,3,0.0,39.89,0.0,2026-02-28,-,0,396.0
-,-,Pablito,-,1301.43,-3.72,1434.86,0.0,44.48,1.24,407,0.0,182,0.0,223,0.0,2,0.0,44.72,0.0,2023-08-25,-,0,-
-,-,CerseiShade,-,1301.39,-2.22,1523.45,0.0,74.02,0.74,54,0.0,25,0.0,28,0.0,1,0.0,46.3,0.0,2020-03-30,-,0,-
